Drive homing rate,Resistance formation rate,rate wt,rate dr,rate of function preserving resistance,rate of function disrupting resistance,rate of inds with at least 1 drive copy,ending pop size
0.71,0.32,0,0.571038,0.0901639,0.338798,0.84153,183
0.71,0.33,0,0.563492,0.0895692,0.346939,0.829932,441
0.71,0.34,0,0.543053,0.090998,0.365949,0.812133,511
0.71,0.35,0,0.552257,0.0712589,0.376485,0.795724,421
0.71,0.36,0,0.535461,0.100473,0.364066,0.777778,423
0.71,0.37,0,0.504762,0.112698,0.38254,0.774603,315
0.71,0.38,0,0.508969,0.0784753,0.412556,0.742152,446
0.52,0.08,0.0108902,0.726799,0.140625,0.121686,0.924242,1056
0.71,0.39,0,0.531603,0.0902935,0.378104,0.785553,443
0.71,0.4,0,0.48996,0.0943775,0.415663,0.726908,498
0.71,0.41,0,0.467514,0.0960452,0.436441,0.714689,354
0.71,0.42,0,0.475232,0.103715,0.421053,0.718266,323
0.71,0.43,0,0.488273,0.102345,0.409382,0.752665,469
0.71,0.44,0,0.414425,0.0892421,0.496333,0.655257,409
0.71,0.45,0,0.447257,0.10654,0.446203,0.704641,474
0.71,0.46,0,0.426,0.081,0.493,0.692,500
0.71,0.47,0,0.417943,0.106127,0.47593,0.658643,457
0.71,0.48,0,0.409459,0.0878378,0.502703,0.651351,370
0.5,0.1,0.00650936,0.705045,0.15297,0.135476,0.925142,1229
0.52,0.09,0,0.724858,0.147059,0.128083,0.931689,1054
0.71,0.49,0,0.37037,0.0906433,0.538986,0.578947,513
0.72,0,0.0854701,0.91453,0,0,0.99359,468
0.72,0.01,0,0.884106,0.0993377,0.0165563,0.993377,302
0.72,0.02,0.091716,0.849112,0.0236686,0.035503,0.976331,169
0.72,0.03,0.036036,0.884384,0.0540541,0.0255255,0.996997,333
0.72,0.04,0,0.882192,0.0630137,0.0547945,0.986301,365
0.72,0.05,0,0.881579,0.05,0.0684211,0.984211,190
0.72,0.06,0,0,0,0,0,0
0.72,0.07,0,0.828612,0.0949008,0.0764873,0.971671,353
0.72,0.08,0,0.834848,0.080303,0.0848485,0.972727,330
0.52,0.1,0.000952381,0.697143,0.161905,0.14,0.913333,1050
0.72,0.09,0,0.821839,0.100575,0.0775862,0.971264,174
0.72,0.1,0,0.77972,0.122378,0.0979021,0.940559,286
0.72,0.11,0.0134328,0.8,0.0820896,0.104478,0.949254,335
0.72,0.12,0,0.762774,0.113139,0.124088,0.963504,274
0.72,0.13,0,0.759375,0.0953125,0.145313,0.953125,320
0.72,0.14,0,0.741587,0.0949519,0.163462,0.932692,416
0.72,0.15,0,0.728873,0.103286,0.16784,0.929577,426
0.72,0.16,0,0.697517,0.100451,0.202032,0.905192,443
0.72,0.17,0,0.709302,0.0845666,0.206131,0.919662,473
0.72,0.18,0,0.742358,0.0873362,0.170306,0.930131,229
0.52,0.11,0,0.689537,0.163808,0.146655,0.906518,1166
0.72,0.19,0,0.694853,0.0968137,0.208333,0.914216,408
0.72,0.2,0,0.716561,0.0870488,0.196391,0.923567,471
0.72,0.21,0,0.694158,0.0876289,0.218213,0.890034,291
0.72,0.22,0,0.660142,0.0907473,0.24911,0.88968,281
0.72,0.23,0,0.655763,0.0903427,0.253894,0.88785,321
0.72,0.24,0,0.683036,0.0803571,0.236607,0.910714,336
0.72,0.25,0,0.650735,0.0716912,0.277574,0.852941,272
0.72,0.26,0,0.618889,0.101111,0.28,0.857778,450
0.72,0.27,0,0.612211,0.0841584,0.30363,0.854785,303
0.72,0.28,0,0.626623,0.0822511,0.291126,0.854978,462
0.52,0.12,0,0.681858,0.152655,0.165487,0.90531,1130
0.72,0.29,0,0.578385,0.0902613,0.331354,0.828979,421
0.72,0.3,0,0.593968,0.0823666,0.323666,0.814385,431
0.72,0.31,0,0.560451,0.104508,0.335041,0.809426,488
0.72,0.32,0,0.565341,0.0838068,0.350852,0.823864,352
0.72,0.33,0,0.558386,0.0987261,0.342887,0.815287,471
0.72,0.34,0,0.576517,0.0897098,0.333773,0.802111,379
0.72,0.35,0,0.510057,0.0675287,0.422414,0.758621,348
0.72,0.36,0,0.518571,0.101429,0.38,0.768571,350
0.72,0.37,0,0.544944,0.0853933,0.369663,0.78427,445
0.72,0.38,0,0.508219,0.0972603,0.394521,0.758904,365
0.52,0.13,0.00322581,0.676344,0.145699,0.174731,0.904301,930
0.72,0.39,0,0.470149,0.11194,0.41791,0.728358,335
0.72,0.4,0,0.485092,0.0756881,0.43922,0.727064,436
0.72,0.41,0,0.474662,0.0861486,0.439189,0.736486,296
0.72,0.42,0,0.498366,0.0833333,0.418301,0.754902,306
0.72,0.43,0,0.454412,0.0926471,0.452941,0.729412,340
0.72,0.44,0,0.446753,0.102597,0.450649,0.690909,385
0.72,0.45,0,0.495444,0.0615034,0.443052,0.747153,439
0.72,0.46,0,0.433239,0.0994318,0.46733,0.661932,352
0.72,0.47,0,0.413793,0.096817,0.48939,0.657825,377
0.72,0.48,0,0.405034,0.0995423,0.495423,0.663616,437
0.52,0.14,0,0.633809,0.163247,0.202944,0.871543,1121
0.72,0.49,0,0.410979,0.0934718,0.495549,0.646884,337
0.73,0,0.103125,0.896875,0,0,0.9875,160
0.73,0.01,0.0561056,0.909241,0.029703,0.0049505,0.9967,303
0.73,0.02,0,0.908907,0.0668016,0.0242915,0.995951,247
0.73,0.03,0,0.907839,0.0625,0.029661,0.987288,472
0.73,0.04,0,0.894545,0.0563636,0.0490909,0.992727,275
0.73,0.05,0,0,0,0,0,0
0.73,0.06,0,0.815287,0.0732484,0.111465,0.974522,157
0.73,0.07,0,0.829082,0.0867347,0.0841837,0.97449,196
0.73,0.08,0,0.826406,0.0867971,0.0867971,0.98044,409
0.52,0.15,0,0.649892,0.162879,0.187229,0.873377,924
0.73,0.09,0,0.840385,0.0692308,0.0903846,0.980769,260
0.73,0.1,0,0.787611,0.0840708,0.128319,0.951327,226
0.73,0.11,0,0.816143,0.0773543,0.106502,0.950673,446
