Drive homing rate,Resistance formation rate,rate wt,rate dr,rate of function preserving resistance,rate of function disrupting resistance,rate of inds with at least 1 drive copy,ending pop size
0.71,0.023,0,0.69977,0,0.30023,0.912215,4773
0.71,0.024,0,0.882129,0,0.117871,0.989294,4857
0.71,0.025,0,0.763658,0,0.236342,0.945156,4686
0.71,0.026,0,0.810231,0,0.189769,0.965347,4848
0.71,0.027,0,0.641934,0,0.358066,0.875782,4798
0.5,0.01,0,0.80719,0,0.19281,0.960423,4826
0.52,0.007,0,0.983417,0,0.0165827,1,4764
0.71,0.028,0,0.666146,0.0136544,0.3202,0.89139,4797
0.71,0.029,0,0.68099,0,0.31901,0.896051,4887
0.71,0.03,0,0.800459,0,0.199541,0.956839,4796
0.71,0.031,0,0.676645,0,0.323355,0.899302,4727
0.71,0.032,0,0.575403,0,0.424597,0.826187,4781
0.71,0.033,0,0.742987,0,0.257013,0.942417,4741
0.71,0.034,0,0.67711,0,0.32289,0.892157,4692
0.71,0.035,0,0.66052,0,0.33948,0.892288,4772
0.71,0.036,0,0.627119,0,0.372881,0.86901,4779
0.71,0.037,0,0.631949,0,0.368051,0.853996,4767
0.52,0.008,0,0.835981,0,0.164019,0.975011,4722
0.71,0.038,0,0.835645,0,0.164355,0.97309,4831
0.71,0.039,0,0.682932,0,0.317068,0.905676,4898
0.71,0.04,0,0.739583,0,0.260417,0.935162,4704
0.71,0.041,0,0.592198,0,0.407802,0.840439,4832
0.71,0.042,0,0.625419,0,0.374581,0.858759,4772
0.71,0.043,0,0.603364,0,0.396636,0.845561,4934
0.71,0.044,0,0.621545,0,0.378455,0.855081,4920
0.71,0.045,0,0.599711,0,0.400289,0.842236,4849
0.71,0.046,0,0.649795,0,0.350205,0.878234,4870
0.71,0.047,0,0.565562,0,0.434438,0.81236,4919
0.52,0.009,0,0.959192,0,0.0408077,0.998738,4754
0.71,0.048,0,0.544985,0,0.455015,0.799797,4935
0.71,0.049,0,0.623046,0,0.376954,0.852678,4799
0.71,0.05,0,0.606529,0,0.393471,0.845967,4947
0.72,0,0,1,0,0,1,4739
0.72,0.001,0,1,0,0,1,4561
0.72,0.002,0,1,0,0,1,4890
0.72,0.003,0,0.912593,0,0.0874066,0.992102,4685
0.72,0.004,0,0.980047,0,0.0199528,0.999356,4661
0.72,0.005,0,0.958155,0,0.0418446,0.998933,4684
0.72,0.006,0,0.946455,0,0.0535454,0.996257,4809
0.52,0.01,0,0.857594,0,0.142406,0.976066,4596
0.72,0.007,0,0.944525,0,0.0554746,0.998127,4804
0.72,0.008,0,0.973701,0,0.0262989,0.998931,4677
0.72,0.009,0,0.997613,0,0.00238738,1,4817
0.72,0.01,0,0.938938,0,0.0610625,0.996133,4913
0.72,0.011,0,0.762426,0,0.237574,0.944608,4748
0.72,0.012,0,0.982117,0,0.0178833,1,4781
0.72,0.013,0,0.850308,0,0.149692,0.975973,4703
0.72,0.014,0,0.848679,0,0.151321,0.977195,4692
0.72,0.015,0,0.872925,0,0.127075,0.982573,4820
0.72,0.016,0,0.738259,0,0.261741,0.925799,4663
0.52,0.011,0,0.799857,0,0.200143,0.960688,4884
0.72,0.017,0,0.656497,0,0.343503,0.883798,4802
0.72,0.018,0,0.873543,0,0.126457,0.984388,4804
0.72,0.019,0,0.600475,0,0.399525,0.844189,5051
0.72,0.02,0,0.811237,0,0.188763,0.965909,4752
0.72,0.021,0,0.781431,0,0.218569,0.950579,4836
0.72,0.022,0,0.778317,0,0.221683,0.950099,5050
0.72,0.023,0,0.6478,0,0.3522,0.87358,4841
0.72,0.024,0,0.693298,0,0.306702,0.908511,4700
0.72,0.025,0,0.735546,0,0.264454,0.933619,4670
0.72,0.026,0,0.753515,0,0.246485,0.939936,4978
0.52,0.012,0,0.726971,0,0.273029,0.920523,4668
0.72,0.027,0,0.663505,0,0.336495,0.881649,4850
0.72,0.028,0,0.79196,0,0.20804,0.959196,4975
0.72,0.029,0,0.670378,0,0.329622,0.887395,4760
0.72,0.03,0,0.62232,0,0.37768,0.853175,4897
0.72,0.031,0,0.732299,0,0.267701,0.926697,4802
0.72,0.032,0,0.721882,0,0.278118,0.920447,4739
0.72,0.033,0,0.647378,0,0.352622,0.868906,4882
0.72,0.034,0,0.774628,0,0.225372,0.951592,4710
0.72,0.035,0,0.701799,0,0.298201,0.912804,4725
0.72,0.036,0,0.704735,0,0.295265,0.907649,4667
0.52,0.013,0,0.913189,0,0.0868114,0.991235,4792
